"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1294","has title","webkit","2026-04-02","passed","2026-04-02","","example.spec.ts","",""
"","11186","sinsrire","firefox","2026-04-02","passed","2026-04-02","","inscrire.spec.ts","",""
"","1411","get started link","chromium","2026-04-02","passed","2026-04-02","","example.spec.ts","",""
"","3177","sinsrire","chromium","2026-04-02","passed","2026-04-02","","inscrire.spec.ts","",""
"","2925","has title","firefox","2026-04-02","passed","2026-04-02","","example.spec.ts","",""
"","5399","sinsrire","webkit","2026-04-02","passed","2026-04-02","","inscrire.spec.ts","",""
"","4816","get started link","firefox","2026-04-02","passed","2026-04-02","","example.spec.ts","",""
"","5781","has title","chromium","2026-04-02","passed","2026-04-02","","example.spec.ts","",""
"","1710","get started link","webkit","2026-04-02","passed","2026-04-02","","example.spec.ts","",""
